Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
630-021,"Petropavlovsk-Kamchatsky, Russia",1957,2022,66,100,3.51,0.43,1.15,0.14,52.9833,158.65
641-003,"Abashiri, Japan",1965,2022,58,97,1.31,0.34,0.43,0.11,44.0167,144.2833
641-021,"Kushiro, Japan",1993,2022,30,98,1.99,0.82,0.65,0.27,42.9667,144.3833
641-031,"Hakodate I, Japan",1961,2022,62,99,-1.47,0.37,-0.48,0.12,41.7833,140.7333
641-061,"Wakkanai, Japan",1975,2022,48,100,3.31,0.34,1.09,0.11,45.4,141.6833
642-022,"Ofunato II, Japan",1974,2010,37,88,4.67,0.47,1.53,0.15,39.0197,141.7533
642-061,"Mera, Japan",1931,2022,92,96,3.76,0.16,1.23,0.05,34.9167,139.8333
642-091,"Aburatsubo, Japan",1930,2022,93,98,3.67,0.17,1.2,0.06,35.15,139.6167
642-141,"Kushimoto, Japan",1957,2022,66,99,4.15,0.44,1.36,0.14,33.4667,135.7833
645-011,"Hosojima, Japan",1930,2022,93,98,-0.07,0.24,-0.02,0.08,32.4333,131.6667
645-021,"Aburatsu, Japan",1960,2022,63,100,2.41,0.35,0.79,0.11,31.5667,131.4167
645-064,"Nagasaki, Japan",1965,2022,58,99,2.82,0.31,0.93,0.1,32.7333,129.8667
646-024,"Naha, Japan",1966,2022,57,100,2.24,0.5,0.74,0.17,26.2167,127.6667
647-023,"Hamada, Japan",1894,2022,129,98,0.95,0.17,0.31,0.06,34.8972,132.0661
647-068,"Toyama, Japan",1975,2022,48,99,3.72,0.39,1.22,0.13,36.7667,137.2167
647-071,"Wajima, Japan",1930,2022,93,98,0.22,0.2,0.07,0.07,37.4,136.9
648-001,"Chichijima, Japan",1975,2022,48,100,3.61,0.79,1.19,0.26,27.0833,142.1833
660-011,"Manila, Philippines",1963,2022,60,85,14.2,0.64,4.66,0.21,14.5833,120.9667
660-021,"Legaspi, Philippines",1947,2022,76,94,5.72,0.56,1.88,0.18,13.15,123.75
660-101,"Cebu, Philippines",1935,2022,88,80,1.86,0.65,0.61,0.21,10.3,123.9167
660-121,"Davao, Philippines",1948,2022,75,81,2.14,1.04,0.7,0.34,7.0833,125.6333
660-141,"Jolo, Philippines",1947,1996,50,87,0.19,1.1,0.06,0.36,6.0667,121.0
680-021,"Weipa, Australia",1966,2020,55,80,3.09,1.09,1.01,0.36,-12.6667,141.8667
680-041,"Cairns, Australia",1960,2020,61,78,1.74,0.4,0.57,0.13,-16.9167,145.7833
680-051,"Townsville, Australia",1959,2022,64,100,2.26,0.32,0.74,0.1,-19.25,146.8333
680-061,"Mackay, Australia",1960,2020,61,79,2.29,0.4,0.75,0.13,-21.1,149.2333
680-073,"Bundaberg, Australia",1966,2022,57,98,2.22,0.46,0.73,0.15,-24.7667,152.3833
680-078,"Brisbane, Australia",1966,2022,57,90,1.54,0.53,0.51,0.17,-27.3667,153.1667
680-135,"Newcastle III & V, Australia",1925,2020,96,92,1.95,0.23,0.64,0.08,-32.9167,151.8
680-140,"Sydney, Fort Denison 1 & 2, Australia",1886,2022,137,99,0.8,0.1,0.26,0.03,-33.8547,151.2258
680-151,"Camp Cove, Australia",1948,1989,42,96,0.38,0.47,0.13,0.15,-33.8333,151.2833
680-275,"Victor Harbour, Australia",1965,2020,56,96,1.44,0.54,0.47,0.18,-35.5625,138.6354
680-311,"Port Adelaide (Outer Harbor), Australia",1940,2020,81,98,2.29,0.29,0.75,0.1,-34.7798,138.4807
680-391,"Port Pirie, Australia",1941,2020,80,99,1.19,0.32,0.39,0.1,-33.1776,138.0116
680-431,"Port Lincoln, Australia",1965,2020,56,99,1.87,0.45,0.61,0.15,-34.7159,135.87
680-461,"Bunbury, Australia",1957,2020,64,94,1.64,0.54,0.54,0.18,-33.3234,115.66
680-471,"Fremantle, Australia",1897,2022,126,93,1.8,0.22,0.59,0.07,-32.066,115.748
